machine_id,logical_cpus,physical_cores,sockets,threads_per_core,budget_mode,core_budget,branch_count,rns_width,mode,requested_workers,effective_workers,omp_threads,requested_omp_threads,core_demand,core_utilization,oversubscribed,run_index,eval_ms,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,7,7,2,2,14,0.218750,False,2,637.608000,143.820958,203.467000,3451.703000,84.976800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,7,7,2,2,14,0.218750,False,3,642.403000,145.076000,195.566000,3481.824000,85.425200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,8,8,2,2,16,0.250000,False,1,572.025000,149.772708,205.497000,3594.545000,85.367700
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,8,8,2,2,16,0.250000,False,2,591.819000,158.461917,205.573000,3803.086000,86.108500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,8,8,2,2,16,0.250000,False,3,560.339000,148.807417,198.750000,3571.378000,86.567400
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,9,9,2,2,18,0.281250,False,1,538.827000,153.616000,209.636000,3686.784000,86.229500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,9,9,2,2,18,0.281250,False,2,553.079000,155.262083,213.373000,3726.290000,87.565500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,9,9,2,2,18,0.281250,False,3,529.402000,151.341292,185.468000,3632.191000,85.546200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,10,10,2,2,20,0.312500,False,1,529.073000,154.734792,184.071000,3713.635000,84.874600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,10,10,2,2,20,0.312500,False,2,535.995000,157.266000,208.612000,3774.384000,85.040600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,10,10,2,2,20,0.312500,False,3,535.898000,158.239958,208.108000,3797.759000,85.033000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,11,11,2,2,22,0.343750,False,1,541.776000,171.423500,225.098000,4114.164000,86.306200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,11,11,2,2,22,0.343750,False,2,537.056000,168.150917,218.733000,4035.622000,87.858200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,11,11,2,2,22,0.343750,False,3,535.217000,165.076292,217.552000,3961.831000,85.101600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,12,12,2,2,24,0.375000,False,1,454.207000,176.025958,220.830000,4224.623000,86.072200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,12,12,2,2,24,0.375000,False,2,519.308000,178.723417,229.250000,4289.362000,144.776000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,12,12,2,2,24,0.375000,False,3,449.711000,172.206208,218.692000,4132.949000,85.658800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,13,13,2,2,26,0.406250,False,1,436.695000,174.948208,226.042000,4198.757000,87.736900
